artwork_id,artist,filename
Vincent_van_Gogh_689,Vincent van Gogh,Vincent_van_Gogh_689.jpg
Vincent_van_Gogh_201,Vincent van Gogh,Vincent_van_Gogh_201.jpg
Vincent_van_Gogh_121,Vincent van Gogh,Vincent_van_Gogh_121.jpg
Vincent_van_Gogh_783,Vincent van Gogh,Vincent_van_Gogh_783.jpg
Vincent_van_Gogh_352,Vincent van Gogh,Vincent_van_Gogh_352.jpg
Claude_Monet_38,Claude Monet,Claude_Monet_38.jpg
Claude_Monet_35,Claude Monet,Claude_Monet_35.jpg
Claude_Monet_25,Claude Monet,Claude_Monet_25.jpg
Claude_Monet_21,Claude Monet,Claude_Monet_21.jpg
Claude_Monet_72,Claude Monet,Claude_Monet_72.jpg
Leonardo_da_Vinci_119,Leonardo da Vinci,Leonardo_da_Vinci_119.jpg
Leonardo_da_Vinci_68,Leonardo da Vinci,Leonardo_da_Vinci_68.jpg
Leonardo_da_Vinci_106,Leonardo da Vinci,Leonardo_da_Vinci_106.jpg
Leonardo_da_Vinci_105,Leonardo da Vinci,Leonardo_da_Vinci_105.jpg
Leonardo_da_Vinci_12,Leonardo da Vinci,Leonardo_da_Vinci_12.jpg
